ID,account_type,gender,age,region_code,cc_cons_apr,dc_cons_apr,cc_cons_may,dc_cons_may,cc_cons_jun,dc_cons_jun,cc_count_apr,cc_count_may,cc_count_jun,dc_count_apr,dc_count_may,dc_count_jun,card_lim,personal_loan_active,vehicle_loan_active,personal_loan_closed,vehicle_loan_closed,investment_1,investment_2,investment_3,investment_4,debit_amount_apr,credit_amount_apr,debit_count_apr,credit_count_apr,max_credit_amount_apr,debit_amount_may,credit_amount_may,credit_count_may,debit_count_may,max_credit_amount_may,debit_amount_jun,credit_amount_jun,credit_count_jun,debit_count_jun,max_credit_amount_jun,loan_enq,emi_active,cc_cons
1638,current,M,66,445,419,3892,4329.42,11070,1313.4,5258,4,34,49,4,1,44,75000,1,1,1,1,3618670.8,560000,300000,0,12968.94,35129.77,42,4,134246,55435.03,52927,1,7,36421,46555.21,43988,21,103,36280,Y,9953.25,14559
3079,saving,M,33,866,15670.995,5378,18833.95,4118,2883.925,542.14,12,83,89,57,1,34,402000,1,1,1,1,153410,25172,38599,1444,172700.03,86589,55,36,30539,97334.41,137772,2,8,44838,63806.93,23579.25,12,12,45639,Y,4536.83,7279
19990,current,M,66,801,5104.69,19038.16,14352,7230.4,4351.52,2361.11,10,3,87,1,4,1,59000,1,1,1,1,3299447.136,41.26,50000,12415,13915.5,38251,40,2,36349.29,16997.25,14396,0,8,10333,40775.6,47658.53,19,107,16966,Y,1998.63,7771
582,current,M,33,268,3914.16,19656,4199.31,8741.3,17865,1967,60,66,84,24,12,1,75000,1,1,1,1,4400,69370,8764,-4679,27966.61,35397.5,16,26,51101.22,421718.75,45551,35,8,19247,68267.56,85643,11,32,28979,Y,7013.96,4161
11396,current,M,32,385,2452,1221,14390.47,34158.95,16830.735,7223.4,19,34,67,15,1,58,199999,1,1,1,1,10008,120000,51520,2921,269277.63,109723,40,2,29694,130651.54,67585,1,38,25336,275923.71,31028.36,5,79,20007,Y,20118.7,14310
15030,current,M,28,249,11249.075,22835.65,1936.55,6662,960.1,1263,60,22,16,10,7,77,35800,1,1,1,1,10008,132324.01,90525,-6281.37988,21186,127943.28,12,5,22215,38258.13,19718,9,20,25057,40584.7,70078.79,1,61,182529,Y,2884.16,28694
16342,saving,M,32,485,7970.44,3323,14398,1403,2615.75,3264,43,6,135,5,18,1,267000,1,1,1,1,13732.93,267421.4,30000,5340,46083.65,52492,46,2,67144,10139.25,173189,4,171,25746.31,45934,66458.83,12,80,11995,Y,2605.91,205661
11264,saving,F,38,653,22112.95,4621,660,4051,16028,3457.55,531,10,1,60,55,3,390000,1,1,1,1,270,10947,73217,12415,27536.62,31195,23,33,229819,42827.99,30888,4,11,38900,48408.89,45732,4,103,15141,Y,334.74,320483
7103,current,F,47,354,14501.03,1637,28074.34,1341,5282,11432,124,32,20,11,2,3,326000,1,1,1,1,386666.75,5350,4198,5464,147824.2,52872,11,14,68695,19717.65,55638.04,10,23,54761.13,23512,77188.29,53,0,48440,Y,19971.71,621
5600,current,M,34,534,6471.25,1897,7697.48,5647,7452,1439,19,3,7,4,9,98,581000,1,1,1,1,13849.4,143000,11580,8723,65347.01,69605.5,11,7,31385,36773.63,10407,4,82,31945,17326.28,88499,11,0,24082,Y,23807.13,3076
8871,saving,M,47,762,9078.34,232.6,37625.5,4426.95,1715,29798,4,26,4,25,9,62,358000,1,1,1,1,6014.12,191000,100000,5439,59157.19,48273,2,36,48600,20694,48339.26,6,82,96.91,35616.18,115293.75,4,1,12647,Y,4651.09,19221
16898,current,M,34,911,2378.28,3099,989.93,23903.5,11502.6,11737,7,4,4,8,2,9,379000,1,1,1,1,8209320,202560,27809,1500,23972.74,245240.91,11,0,95200,58903.25,377772.36,9,20,17852,45875.25,68277,3,104,65428,Y,2285.92,4943
14003,saving,M,33,923,23517,4892,1192.04,3838,1766.095,4514,10,10,7,2,2,54,453000,1,1,1,1,32805,232235.65,27809,1992,63856.65,64193,42,7,46598,312874.02,24730,7,20,185332,96493.15,79268,6,120,72429,Y,58.68,17595
2403,current,F,28,766,32785.94,19656,28298,4574,28437.15,127,24,85,13,35,4,26,198000,1,1,1,1,568.8,278360.16,15477,9415,179819.25,83479,22,7,31397,45928,56112.38,2,36,30629,49696.22,150853,14,58,38495.4,Y,4768.81,12317
12375,current,M,38,683,13592.95,59694,4663.76,7761.93,4918,2875,60,47,84,1,3,47,400000,1,1,1,1,800.8,130000,925,-5998.43994,66426.29,50205,41,3,30116,50118,19829,50,8,27220,58725.14,15155,3,8,23738.12,Y,1923.52,14956
12821,current,M,27,818,45218.54,10292,53798.97,4642,3872,1255.52,15,1,5,1,62,30,402000,1,1,1,1,21220,82907.34,492,-5715.49023,47598.69,75540.91,90,3,99.43,42080.01,41440,4,8,25898,1077,93344.01,5,113,39647,Y,261.01,178734
3192,current,M,35,254,7506,883.8,13595.78,5995.68,2628.125,3426,92,99,10,1,1,47,34000,1,1,1,1,15079.5,97523.61,105000,2921,200844.23,109188,62,1,33879,114464.62,24404,1,81,76920,70628.44,58842.58,3,3,30430,Y,8980.45,13638
17782,current,M,40,723,4666.01,1113,2481,2272,28524.66,1544,92,3,64,57,31,26,481000,1,1,1,1,684495.7,24703,248000,20513,48545.74,63040,10,26,2928,15818,16170,4,2,31930,77147.13,155257,21,80,25245,Y,11685.9,15239
1336,current,M,37,710,2085.8,6220.29,12760.19,11209,26831.09,1289.48,44,1,67,1,2,31,98000,1,1,1,1,360978.37,90829.65,925,-6885,20799.48,24159,90,4,40544,56738.89,34483,6,25,16492,26757.3,198653,47,104,87473,Y,5251.76,8797
7533,current,M,37,748,8926.5,3677.75,2076.59,9049,15383.135,1485,7,6,9,47,36,47,579000,1,1,1,1,70310.6,157000,54101,20790,68979.83,16565,38,14,13907,15289,62372,8,20,26765,30527.88,85194,12,103,45686,Y,403.81,13363
9282,saving,M,53,385,140059.47,7467,2386.87,989.44,86965.225,901,63,71,9,7,1,42,127500,1,1,1,1,115.45,64215.6,8929,5773,72164,62388,6,2,8560.33,20635,150124.36,2,171,348255,11180,66846.42,2,120,32616,Y,3784.02,18383
17485,current,M,53,748,22319.75,761.24,1216.86,2272,4231.385,12824,1,5,13,25,18,11,26000,1,1,1,1,86865,30000,16114,2921,54584.94,15926.97,4,4,115012,19453.42,238.58,1,69,63585,119096,33790.12,8,49,20969,Y,5476.02,508
13471,current,M,53,710,6241.51,4681.5,31128.73,1689.28,6518.085,831.88,10,26,61,57,23,81,533000,1,1,1,1,11878.6,110135.86,73217,-4679,204022,88532,20,2,20417,34563.46,102522,9,108,27159,4777.62,257926.79,6,57,140759,Y,8004.35,322012
16144,current,M,49,330,5232.5,7082,1689.5,6038.72,5532.815,4468.2,8,25,6,20,4,47,302000,1,1,1,1,47.35,76157.6,800,5350,345.75,5033,2,3,28480,150728.82,18993,4,20,144270,135966.72,59813.05,2,14,48763,Y,43.07,337631
12968,current,M,55,445,6484.98,892,13170,14949.16,951,3052,5,5,110,1,55,18,381000,1,1,1,1,105453.65,10701,30011,-5439,104081.25,5217.91,103,18,14270,12079.68,7064,2,7,85989,191223.41,77413.98,3,18,11884,Y,1662.97,8571
13835,current,M,44,448,3327,4464.44,5794.78,2876.04,292.4,4536,17,22,3,18,55,70,67000,1,1,1,1,73010,157000,539,-3506.17993,54396.5,77959,1,31,22309,136301.61,93694,6,171,28127.16,65079.72,44777,12,58,551,Y,3206.16,391355
6174,current,F,60,244,97692.57,76,1994.14,5647,8140,9092,14,6,49,52,7,56,410000,1,1,1,1,61186.36,674291.83,908,1931,85087,75875,3,1,35549,112977.19,28465,4,81,63388,221292.35,40633,47,73,29657,Y,18029.33,313106
12686,current,M,62,725,19219.42,1889,2900.5,2701.06,9736.11,9654,5,22,64,2,6,13,595000,1,1,1,1,154363.25,278360.16,3570,3897,663.25,13820,11,1,94567,222.41,23037,4,1,50087,28584,20276,1,38,37258,Y,9555.63,136251
583,current,F,53,366,3615.12,2695,5190.5,12486.47,8802,87,56,18,13,2,18,80,406000,1,1,1,1,45463,6,15756,2351,17584.92,159724,18,36,12713,2323,26305.79,1,11,142276,56545.89,95053,4,11,142097,Y,468.69,38
13458,current,M,47,516,9867.21,1946.45,9634,3167.97,18706.205,6308.88,12,2,7,20,2,4,272000,1,1,1,1,4900.4,25000,14904,2351,41680.88,31408,0,36,23937,85126.27,10518,9,81,15769,36260.01,11299,9,6,31900,Y,50883.43,326187
8875,current,M,44,538,19153,10966.59,8438.29,29664,18777.98,214,14,99,9,25,2,8,373000,1,1,1,1,384550.05,142608.5,12016,0,45257.76,95390,91,7,69836,21146,36315,1,171,13210,44284.63,100641.75,4,8,100113,Y,57243.38,18593
13417,current,M,66,758,7504,1708,7126.76,7399.2,2999.075,167311,15,36,87,48,7,12,350000,1,1,1,1,811000,784499,768,977,90238,14244,68,0,148401,114286.21,55750,2,8,21600,89182.06,143165,4,0,30028,Y,830.71,6018
15679,current,M,53,864,2500.4,1068.64,15316.7,539.44,11145,9468,60,2,52,22,25,47,267000,1,1,1,1,115.45,470000,300500,553,24459.25,48079,4,4,39859,29946,224.43,11,24,126843,9557,46753,18,11,27875,Y,5755.95,17230
16111,current,M,33,537,24592.7,2202,17546,2696,12183,4947.95,6,32,48,23,4,9,518000,1,1,1,1,181073.75,38173,4458,9415,68453.08,59569,18,1,36579,38276.88,7854,3,108,106409,149576.73,31868.5,58,133,14715,Y,212.53,19980
5820,current,M,44,268,29715,11739,3786.05,22181,11021.095,1574.71,12,5,67,5,5,4,371000,1,1,1,1,1910215,165000,3975,0,13555.54,65124.81,4,2,42989,89055.44,19104,0,59,37188,35226,48877,6,14,19871,Y,6478.98,10403
18688,current,M,42,614,2057,3240.53,6526.9,1131.23,7132.89,9289.55,7,43,84,1,60,55,507000,1,1,1,1,123295.4,117729.97,5797,12415,38624.25,72512.82,42,1,52600,15446,81445,4,20,25740,66910.23,84298,7,61,46343,Y,1977.2,15815
2728,current,M,33,346,11429,6399,22625.76,913.4,9548.41,622.59,10,7,20,24,6,68,136000,1,1,1,1,138272.2,360000,798,5464,10449.17,59330.5,11,36,31333,29684.06,49311.66,2,30,28251,26219.33,100334,8,18,59939,Y,13723.45,40223
10372,current,M,34,631,2080,240,1052.3,2047,1069,1023,43,85,48,20,4,8,75000,1,1,1,1,13180,237365.38,25639,0,4049.29,54172,11,1,35557,43229.61,35150.31,10,9,23349,15350,36734.26,5,21,24821,Y,2183.1,27930
1929,current,M,44,485,4759.44,801,181144.89,5720.43,21267,428.52,25,3,6,1,38,7,47000,1,1,1,1,15279.79,150000,5101,13135,9259.48,66190,18,7,23967,193717.43,24148.81,23,82,283399,45716.16,36030.23,93,15,40673,Y,419.51,9796
8146,current,M,40,503,9425.91,23561.21,1911.5,6209,14787,38571.75,7,30,6,1,60,13,184000,1,1,1,1,41883.6,96096,1001,2921,42921.1,78522.41,10,3,248701,76394.71,47538.32,2,8,24402,91664.62,119453,6,113,20908,Y,1500.22,9437
15114,saving,M,47,693,25316.49,2969,2391.24,1876.81,14417.01,6710,66,601,13,18,8,98,350000,1,1,1,1,213557.15,232235.65,254000,2351,10870.25,54473,59,3,39589,20328.52,15198.04,5,75,21397,39408.28,54358,2,52,147947,Y,868.21,16955
16874,current,M,67,594,5718.68,3300.01,4206.56,3407,47598,1772,44,1,9,8,25,55,100000,1,1,1,1,31454.1,159415.3,15654,0,24150.48,116097,23,0,36358,219565.69,51381,1,87,165407,186773.76,72171,117,10,30172,Y,2670,19009
8644,current,M,33,633,14295.68,16889.78,6960.53,6052.75,289,1875,26,5,53,3,31,4,379000,1,1,1,1,25976.2,674291.83,68000,6613,67610.87,62899.41,63,6,23701,126223.65,101191,6,23,64496,65505.68,48487,117,83,65571.5,Y,40438.02,15401
14576,current,M,30,516,14002.56,6855,10973.46,11182,4721,9488.52,6,26,110,42,4,98,306000,1,1,1,1,15772650.74,560000,68000,5340,45799.3,54181.99,42,2,194250,51846.89,18099,8,82,78089,50802.81,8983,2,54,47301.29,Y,997.8,7586
17402,current,M,38,748,3895,7944,892.01,2913.65,25960,623,2,43,50,1,5,68,298000,1,1,1,1,70310.6,134000,23500,2351,61528.5,25395.5,90,6,25019,28963.46,100159,23,82,97660,6539809.92,68847,3,28,28359,Y,5175.29,12237
19577,current,M,55,324,6042.83,5076.02,24356.195,4319,5384.415,2326,5,2,44,2,1,1,48000,1,1,1,1,4614669.901,13299,583,5464,24751.1,62786,4,7,15930,13732.7,3345,2,82,25150,10832.7,60855,3,22,11554,Y,2076.25,238271
9865,current,M,47,911,34162,505,4293.21,748.38,1502.785,2825.13,6,26,52,8,7,75,87000,1,1,1,1,1665,165970.9,130000,5340,593299.76,347424,32,3,142896,3361.35,28974,2,46,88653,31458.87,46753,62,68,21116,Y,14653.27,16444
14846,current,M,46,633,9554.97,1042,22091.79,1425.22,5875.42,71638,1,17,13,3,7,16,519000,1,1,1,1,668728.4,26000,12000,-3625,65204.23,46225,11,0,52780,57122.88,82908,0,8,21728,47219.86,10831,6,3,79682,Y,250.62,19171
11063,saving,M,62,330,55700.65,2185.6,51445.42,4728,33868.445,3488.1,9,8,50,50,45,13,395000,1,1,1,1,7089.7,680956.4,25524,1079,17557,10604,10,4,46598,43439.75,315563.31,6,8,2298.94,15044,67467.53,10,58,28618,Y,3696.16,13004
6572,current,M,36,836,5440.6,4573,4850.83,4719,438,885,1,10,48,1,26,79,0,1,1,1,1,3938.25,39833.19,51520,-5998.43994,260923.2,42645,62,26,30820,71591,92860,6,12,3368,267477.55,95837.17,5,12,63288,Y,9887.32,19027
19880,saving,M,32,537,18390.52,1899,5149.59,3569.12,2263.01,1134,6,3,67,24,24,4,523000,1,1,1,1,168265.55,300000,25524,1992,45030.85,90009,36,2,98516,109414.51,21181,17,25,124950,11929.26,48818,14,9,33754,Y,2263537.26,2560
17051,current,M,30,956,3412.6,2909.34,1077.36,3084.5,4615.97,6693,19,10,2,53,1,42,358000,1,1,1,1,331.2,130000,300500,12174,25210.23,27532.37,103,36,28579,44974.63,42852,1,108,97916,45253.64,47635,2,18,19947,Y,3448.84,13434
11491,current,M,37,966,18133.76,3877,6123.78,5597.43,64620,6117,4,60,1,4,1,17,114000,1,1,1,1,5809950,3,610000,2351,30937,50784,40,35,25379,117575.67,24257,1,4,25125,12912.33,18369,3,49,20585,Y,3812.69,449
7433,current,M,33,505,6363.65,735.49,8799,13768,38266,2638,2,83,47,4,62,42,360000,1,1,1,1,27324,176487.6,2156,3735,12940.25,26345,11,3,19224,14646.35,38306,70,11,38546,93567.51,26713,47,49,13950,Y,9432.9,11968
14606,current,M,63,631,12765.66,4429.16,16745.86,6360,29063.97,3711,12,2,16,24,12,58,155000,1,1,1,1,370776,63000,26241,0,78122.15,49660,42,26,72186,14719,46132.05,43,1,180315,176394.48,35062.74,3,37,37018,Y,144.61,32029
8381,saving,M,33,698,27819.7,1944,7006.5,2228.5,1096.25,1065,15,13,61,7,5,80,362000,1,1,1,1,10006.2,7216.53,13873,-4679,6855.71,933699,46,35,18867,189938.76,37191,2,14,13480,3167,19056,2,15,24274,Y,1887.89,16394
18278,current,M,58,685,12042,7896.15,33092.1,4586.13,20139,967,1,2,9,1,60,34,406000,1,1,1,1,1539496.64,118976,1727,4512,44370,50651,43,30,36850,95955.5,145970.36,4,8,60445,259864.66,109406.8,3,50,47.41,Y,9758.48,2660
14847,saving,M,34,505,12889.56,67801.63,11593.2,656.67,8650.5,318.87,4,26,90,8,31,58,326250,1,1,1,1,3247.5,232235.65,60000,1411,24203.75,22213.75,84,1,31476,83531.47,62573,6,28,20411,46532.25,29320.48,4,58,23750,Y,9851.62,16157
15315,current,M,47,748,84321.25,10039.61,34449.58,2399,13663,7987,43,3,30,1,2,1,35000,1,1,1,1,5210.85,6,10973,4856,42782.99,22440.65,20,11,24889,107447.85,16639,6,4,145033,42824.31,204537.25,40,50,23184,Y,4004.23,214314
16912,current,M,47,448,2265.54,8087,18413.2,25259,1295.52,2726,2,65,87,30,7,79,49999,1,1,1,1,98543.96,376600.5,25000,0,47570.7,175513,4,4,195632,21947.75,276256,2,44,38546,3797,26097,7,50,37550,Y,3865.87,12335
1313,current,M,29,700,56862,446,3031,9447.93,2625.31,8713,3,43,59,24,44,91,411000,1,1,1,1,41441.27,200015.58,68000,3897,10060.63,288.82,90,13,42370.84,72846.85,5683.36,2,18,197500,84434.2,65861,3,1,43663,Y,1713.03,332701
10076,current,M,34,723,1134.92,3018,5245.72,16999.17,8382,2346.94,18,77,14,5,3,1,421000,1,1,1,1,510.6,10465.48,925,3897,126054.7,23766,62,1,47061.91,37761.47,39996,31,20,44866,82501.26,33010,40,13,12817,Y,8101.76,11635
1613,current,M,33,485,57060.84,719.01,60818.82,2901.96,3239,15173.75,92,85,30,24,12,26,124000,1,1,1,1,8043.25,143000,3975,6885,438713.25,2279968.41,36,30,21756,57653.99,143540,1,17,10166,18793.51,120139.32,14,13,76031,Y,10923.95,317146
915,current,F,44,628,3492,354,8978.99,2039.92,855,10111.2,7,43,1,82,14,79,191000,1,1,1,1,472,43397,126001,2921,23614,101855,42,36,30539,65974.52,121505,43,81,32620,69944.93,60855,36,8,26647,Y,2874.82,209357
